id,latitude,longitude,dataset,datum,error_radius_m,accuracy_square_meters,plant,observer,date,source,county,location_description,location_quality,citation
po10752,34.174057,-119.031975,mgr,WGS84,1,3,Amsinckia menziesii,Steven M Norris,2016-03-05,NA,Ventura,"Along ridge line of hill to south of model airplane park, Camarillo Park, CSUCI campus",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
po11831,34.16762,-119.039135,mgr,WGS84,3,28,Amsinckia menziesii,Steven M Norris,2016-02-19,NA,Ventura,"Along crest line of hill to west of University Glen, to south of concrete water tank",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
po8656,34.161077,-119.047602,mgr,WGS84,10,314,Amsinckia menziesii,Steven M Norris,2015-02-20,NA,Ventura,"South face near crest of hill to west of Aliso Hall, CSUCI campus",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
cbo20551,37.893447,-122.030005,online,WGS84,10,314,Amsinckia menziesii,Lesley Hunt,2014-02-22,Walnut Creek Open Space Foundation,Contra Costa,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe5111,37.975461,-122.584247,online,WGS84,2,10,Amsinckia menziesii var. intermedia,Bob Granger,2013-04-15,COM,Marin,in grasses next to fire road leading to top of Bald Hill at the junction of Deer Park trail N 37 58.540' W 122 35.074',high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe3259,36.66801,-121.0322,online,WGS84,10,314,Amsinckia menziesii,Gary McDonald,2012-04-01,NA,San Benito,"1.6 mi. N. of Antelope Fire Control Station, Willow Springs, San Benito Co., CA",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe3094,37.994498,-122.104096,online,WGS84,2,10,Amsinckia menziesii,Brett Stevenson,2012-03-04,NA,Contra Costa,On a hillside between shopping centers and suburbia.,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe2098,34.111307,-118.711566,online,WGS84,4,50,Amsinckia menziesii,michael o brien,2011-05-08,NA,Los Angeles,"White Oak Farm, a unit of Malibu Creek State Park",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe1948,39.581737,-121.551833,online,WGS84,4,50,Amsinckia menziesii var. intermedia,Mike Loomis,2010-04-23,NA,Butte,"Table Mountain, Cherokee Rd., 1.5 miles north of Schimer Rd.",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe1308,37.601176,-119.998683,online,WGS84,6,100,Amsinckia menziesii var. intermedia,Mike Loomis,2010-04-09,NA,Mariposa,"Railroad Flat Road, 2.5 miles west of Briceburg",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe1479,39.599554,-121.545932,online,WGS84,4,50,Amsinckia menziesii var. menziesii,Mike Loomis,2010-03-28,NA,Butte,North Table Mountain,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe1484,37.659585,-120.484764,online,WGS84,4,50,Amsinckia menziesii var. intermedia,Mike Loomis,2010-03-28,NA,Stanislaus,Hwy. 132 .5 miles west of LaGrange,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe1151,37.650053,-119.884936,online,WGS84,18,1000,Amsinckia menziesii var. intermedia,Mike Loomis,2010-03-23,NA,Mariposa,Hite's Cove Trail,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
wb1194-161,35.12829,-119.84129,online,WGS84,20,1200,Amsinckia menziesii,Brian and Eileen Keelan,2009-03-20,NA,San Luis Obispo,Selby Cpgd -- Carrizo Plain NM,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
po8146,34.161823,-119.034746,mgr,WGS84,20,1257,Amsinckia menziesii,Steven M Norris,2008-03-28,NA,Ventura,"North facing slope of hillside to south of University Glen, CSUCI, roughly opposite intersection of Elephant Seal Cove and Channel Islands Drive, half-way or more up the slope",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
po224706,37.515775,-121.83148,mgr,WGS84,100,31416,Amsinckia menziesii,Mary Ann Hannon,2000-04-03,Sunol-Ohlone Herbarium Boraginaceae,Alameda,Meadow area in front of Sunol Regional Wilderness Park Headquarters,medium,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
SD00012878,33.15972,-117.2725,cch2,WGS84,80,20106,Amsinckia menziesii,Andrew C. Sanders,2004-04-23,SDNHM,San Diego,"Carlsbad, Carlsbad Highlands Ecological Reserve, slopes & canyons ca. 1 mile SE of Cerro de la Calavera, SW of the end of Cannon Rd.",medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
5736953,33.68971,-117.63169,cch2,WGS84,5,78,Amsinckia menziesii,Ron Vanderhoff,2023-01-29,UCI,Orange,"Vulture View Rd., ca 120m N junct. of Sage Scrub Trail, Whiting Ranch Wilderness Park",high,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
5802736,33.627269,-117.761333,cch2,WGS84,20,1256,Amsinckia menziesii,Fred M. Roberts,2017-06-06,UCI,Orange,"SAN JOAQUIN HILLS: Irvine Open Space Preserve, Laguna Canyon, near jct. of East Canyon and Mule Deer Trail, ca. 170 meters SW gate on Laguna Canyon Road (ca. 5.2 km ENE Signal Peak). Tustin 7.5' USGS Quad: UTM Z11 0429386mE, 3721089mN",high,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
